(88,80,1,0,0,0)
(88,78,0,0,2,1)
(88,79,1,0,1,0)
(87,79,0,1,1,1)
(87,80,1,1,0,0)
(85,80,0,3,0,1)
(86,80,1,2,0,0)
(86,79,0,2,1,1)
(87,79,1,1,1,0)
(85,79,0,3,1,1)
(85,80,1,3,0,0)
(83,80,0,5,0,1)
(84,80,1,4,0,0)
(84,79,0,4,1,1)
(85,79,1,3,1,0)
(85,78,0,3,2,1)
(86,78,1,2,2,0)
(84,78,0,4,2,1)
(84,79,1,4,1,0)
(83,79,0,5,1,1)
(83,80,1,5,0,0)
(81,80,0,7,0,1)
(82,80,1,6,0,0)
(82,79,0,6,1,1)
(83,79,1,5,1,0)
(83,78,0,5,2,1)
(84,78,1,4,2,0)
(84,77,0,4,3,1)
(85,77,1,3,3,0)
(83,77,0,5,3,1)
(83,78,1,5,2,0)
(82,78,0,6,2,1)
(82,79,1,6,1,0)
(81,79,0,7,1,1)
(81,80,1,7,0,0)
(81,78,0,7,2,1)
(82,78,1,6,2,0)
(82,77,0,6,3,1)
(83,77,1,5,3,0)
(83,76,0,5,4,1)
(84,76,1,4,4,0)
(82,76,0,6,4,1)
(82,77,1,6,3,0)
(81,77,0,7,3,1)
(81,78,1,7,2,0)
(80,78,0,8,2,1)
(80,79,1,8,1,0)
(79,78,0,9,2,1)
(80,78,1,8,2,0)
(80,77,0,8,3,1)
(81,77,1,7,3,0)
(81,76,0,7,4,1)
(82,76,1,6,4,0)
(82,75,0,6,5,1)
(83,75,1,5,5,0)
(81,75,0,7,5,1)
(81,76,1,7,4,0)
(80,76,0,8,4,1)
(80,77,1,8,3,0)
(79,77,0,9,3,1)
(79,78,1,9,2,0)
(78,77,0,10,3,1)
(79,77,1,9,3,0)
(79,76,0,9,4,1)
(80,76,1,8,4,0)
(80,75,0,8,5,1)
(81,75,1,7,5,0)
(81,74,0,7,6,1)
(82,74,1,6,6,0)
(80,74,0,8,6,1)
(80,75,1,8,5,0)
(79,75,0,9,5,1)
(79,76,1,9,4,0)
(78,76,0,10,4,1)
(78,77,1,10,3,0)
(77,76,0,11,4,1)
(78,76,1,10,4,0)
(78,75,0,10,5,1)
(79,75,1,9,5,0)
(79,74,0,9,6,1)
(80,74,1,8,6,0)
(80,73,0,8,7,1)
(81,73,1,7,7,0)
(79,73,0,9,7,1)
(79,74,1,9,6,0)
(78,74,0,10,6,1)
(78,75,1,10,5,0)
(77,75,0,11,5,1)
(77,76,1,11,4,0)
(76,75,0,12,5,1)
(77,75,1,11,5,0)
(77,74,0,11,6,1)
(78,74,1,10,6,0)
(78,73,0,10,7,1)
(79,73,1,9,7,0)
(79,72,0,9,8,1)
(80,72,1,8,8,0)
(78,72,0,10,8,1)
(78,73,1,10,7,0)
(77,73,0,11,7,1)
(77,74,1,11,6,0)
(76,74,0,12,6,1)
(76,75,1,12,5,0)
(75,74,0,13,6,1)
(76,74,1,12,6,0)
(76,73,0,12,7,1)
(77,73,1,11,7,0)
(77,72,0,11,8,1)
(78,72,1,10,8,0)
(78,71,0,10,9,1)
(79,71,1,9,9,0)
(77,71,0,11,9,1)
(77,72,1,11,8,0)
(76,72,0,12,8,1)
(76,73,1,12,7,0)
(75,73,0,13,7,1)
(75,74,1,13,6,0)
(74,73,0,14,7,1)
(75,73,1,13,7,0)
(75,72,0,13,8,1)
(76,72,1,12,8,0)
(76,71,0,12,9,1)
(77,71,1,11,9,0)
(77,70,0,11,10,1)
(78,70,1,10,10,0)
(76,70,0,12,10,1)
(76,71,1,12,9,0)
(75,71,0,13,9,1)
(75,72,1,13,8,0)
(74,72,0,14,8,1)
(74,73,1,14,7,0)
(73,72,0,15,8,1)
(74,72,1,14,8,0)
(74,71,0,14,9,1)
(75,71,1,13,9,0)
(75,70,0,13,10,1)
(76,70,1,12,10,0)
(76,69,0,12,11,1)
(77,69,1,11,11,0)
(75,69,0,13,11,1)
(75,70,1,13,10,0)
(74,70,0,14,10,1)
(74,71,1,14,9,0)
(73,71,0,15,9,1)
(73,72,1,15,8,0)
(72,71,0,16,9,1)
(73,71,1,15,9,0)
(73,70,0,15,10,1)
(74,70,1,14,10,0)
(74,69,0,14,11,1)
(75,69,1,13,11,0)
(75,68,0,13,12,1)
(76,68,1,12,12,0)
(74,68,0,14,12,1)
(74,69,1,14,11,0)
(73,69,0,15,11,1)
(73,70,1,15,10,0)
(72,70,0,16,10,1)
(72,71,1,16,9,0)
(71,70,0,17,10,1)
(72,70,1,16,10,0)
(72,69,0,16,11,1)
(73,69,1,15,11,0)
(73,68,0,15,12,1)
(74,68,1,14,12,0)
(74,67,0,14,13,1)
(75,67,1,13,13,0)
(73,67,0,15,13,1)
(73,68,1,15,12,0)
(72,68,0,16,12,1)
(72,69,1,16,11,0)
(71,69,0,17,11,1)
(71,70,1,17,10,0)
(70,69,0,18,11,1)
(71,69,1,17,11,0)
(71,68,0,17,12,1)
(72,68,1,16,12,0)
(72,67,0,16,13,1)
(73,67,1,15,13,0)
(73,66,0,15,14,1)
(74,66,1,14,14,0)
(72,66,0,16,14,1)
(72,67,1,16,13,0)
(71,67,0,17,13,1)
(71,68,1,17,12,0)
(70,68,0,18,12,1)
(70,69,1,18,11,0)
(69,68,0,19,12,1)
(70,68,1,18,12,0)
(70,67,0,18,13,1)
(71,67,1,17,13,0)
(71,66,0,17,14,1)
(72,66,1,16,14,0)
(72,65,0,16,15,1)
(73,65,1,15,15,0)
(71,65,0,17,15,1)
(71,66,1,17,14,0)
(70,66,0,18,14,1)
(70,67,1,18,13,0)
(69,67,0,19,13,1)
(69,68,1,19,12,0)
(68,67,0,20,13,1)
(69,67,1,19,13,0)
(69,66,0,19,14,1)
(70,66,1,18,14,0)
(70,65,0,18,15,1)
(71,65,1,17,15,0)
(71,64,0,17,16,1)
(72,64,1,16,16,0)
(70,64,0,18,16,1)
(70,65,1,18,15,0)
(69,65,0,19,15,1)
(69,66,1,19,14,0)
(68,66,0,20,14,1)
(68,67,1,20,13,0)
(67,66,0,21,14,1)
(68,66,1,20,14,0)
(68,65,0,20,15,1)
(69,65,1,19,15,0)
(69,64,0,19,16,1)
(70,64,1,18,16,0)
(70,63,0,18,17,1)
(71,63,1,17,17,0)
(69,63,0,19,17,1)
(69,64,1,19,16,0)
(68,64,0,20,16,1)
(68,65,1,20,15,0)
(67,65,0,21,15,1)
(67,66,1,21,14,0)
(66,65,0,22,15,1)
(67,65,1,21,15,0)
(67,64,0,21,16,1)
(68,64,1,20,16,0)
(68,63,0,20,17,1)
(69,63,1,19,17,0)
(69,62,0,19,18,1)
(70,62,1,18,18,0)
(68,62,0,20,18,1)
(68,63,1,20,17,0)
(67,63,0,21,17,1)
(67,64,1,21,16,0)
(66,64,0,22,16,1)
(66,65,1,22,15,0)
(65,64,0,23,16,1)
(66,64,1,22,16,0)
(66,63,0,22,17,1)
(67,63,1,21,17,0)
(67,62,0,21,18,1)
(68,62,1,20,18,0)
(68,61,0,20,19,1)
(69,61,1,19,19,0)
(67,61,0,21,19,1)
(67,62,1,21,18,0)
(66,62,0,22,18,1)
(66,63,1,22,17,0)
(65,63,0,23,17,1)
(65,64,1,23,16,0)
(64,63,0,24,17,1)
(65,63,1,23,17,0)
(65,62,0,23,18,1)
(66,62,1,22,18,0)
(66,61,0,22,19,1)
(67,61,1,21,19,0)
(67,60,0,21,20,1)
(68,60,1,20,20,0)
(66,60,0,22,20,1)
(66,61,1,22,19,0)
(65,61,0,23,19,1)
(65,62,1,23,18,0)
(64,62,0,24,18,1)
(64,63,1,24,17,0)
(63,62,0,25,18,1)
(64,62,1,24,18,0)
(64,61,0,24,19,1)
(65,61,1,23,19,0)
(65,60,0,23,20,1)
(66,60,1,22,20,0)
(66,59,0,22,21,1)
(67,59,1,21,21,0)
(65,59,0,23,21,1)
(65,60,1,23,20,0)
(64,60,0,24,20,1)
(64,61,1,24,19,0)
(63,61,0,25,19,1)
(63,62,1,25,18,0)
(62,61,0,26,19,1)
(63,61,1,25,19,0)
(63,60,0,25,20,1)
(64,60,1,24,20,0)
(64,59,0,24,21,1)
(65,59,1,23,21,0)
(65,58,0,23,22,1)
(66,58,1,22,22,0)
(64,58,0,24,22,1)
(64,59,1,24,21,0)
(63,59,0,25,21,1)
(63,60,1,25,20,0)
(62,60,0,26,20,1)
(62,61,1,26,19,0)
(61,60,0,27,20,1)
(62,60,1,26,20,0)
(62,59,0,26,21,1)
(63,59,1,25,21,0)
(63,58,0,25,22,1)
(64,58,1,24,22,0)
(64,57,0,24,23,1)
(65,57,1,23,23,0)
(63,57,0,25,23,1)
(63,58,1,25,22,0)
(62,58,0,26,22,1)
(62,59,1,26,21,0)
(61,59,0,27,21,1)
(61,60,1,27,20,0)
(60,59,0,28,21,1)
(61,59,1,27,21,0)
(61,58,0,27,22,1)
(62,58,1,26,22,0)
(62,57,0,26,23,1)
(63,57,1,25,23,0)
(63,56,0,25,24,1)
(64,56,1,24,24,0)
(62,56,0,26,24,1)
(62,57,1,26,23,0)
(61,57,0,27,23,1)
(61,58,1,27,22,0)
(60,58,0,28,22,1)
(60,59,1,28,21,0)
(59,58,0,29,22,1)
(60,58,1,28,22,0)
(60,57,0,28,23,1)
(61,57,1,27,23,0)
(61,56,0,27,24,1)
(62,56,1,26,24,0)
(62,55,0,26,25,1)
(63,55,1,25,25,0)
(61,55,0,27,25,1)
(61,56,1,27,24,0)
(60,56,0,28,24,1)
(60,57,1,28,23,0)
(59,57,0,29,23,1)
(59,58,1,29,22,0)
(58,57,0,30,23,1)
(59,57,1,29,23,0)
(59,56,0,29,24,1)
(60,56,1,28,24,0)
(60,55,0,28,25,1)
(61,55,1,27,25,0)
(61,54,0,27,26,1)
(62,54,1,26,26,0)
(60,54,0,28,26,1)
(60,55,1,28,25,0)
(59,55,0,29,25,1)
(59,56,1,29,24,0)
(58,56,0,30,24,1)
(58,57,1,30,23,0)
(57,56,0,31,24,1)
(58,56,1,30,24,0)
(58,55,0,30,25,1)
(59,55,1,29,25,0)
(59,54,0,29,26,1)
(60,54,1,28,26,0)
(60,53,0,28,27,1)
(61,53,1,27,27,0)
(59,53,0,29,27,1)
(59,54,1,29,26,0)
(58,54,0,30,26,1)
(58,55,1,30,25,0)
(57,55,0,31,25,1)
(57,56,1,31,24,0)
(56,55,0,32,25,1)
(57,55,1,31,25,0)
(57,54,0,31,26,1)
(58,54,1,30,26,0)
(58,53,0,30,27,1)
(59,53,1,29,27,0)
(59,52,0,29,28,1)
(60,52,1,28,28,0)
(58,52,0,30,28,1)
(58,53,1,30,27,0)
(57,53,0,31,27,1)
(57,54,1,31,26,0)
(56,54,0,32,26,1)
(56,55,1,32,25,0)
(55,54,0,33,26,1)
(56,54,1,32,26,0)
(56,53,0,32,27,1)
(57,53,1,31,27,0)
(57,52,0,31,28,1)
(58,52,1,30,28,0)
(58,51,0,30,29,1)
(59,51,1,29,29,0)
(57,51,0,31,29,1)
(57,52,1,31,28,0)
(56,52,0,32,28,1)
(56,53,1,32,27,0)
(55,53,0,33,27,1)
(55,54,1,33,26,0)
(54,53,0,34,27,1)
(55,53,1,33,27,0)
(55,52,0,33,28,1)
(56,52,1,32,28,0)
(56,51,0,32,29,1)
(57,51,1,31,29,0)
(57,50,0,31,30,1)
(58,50,1,30,30,0)
(56,50,0,32,30,1)
(56,51,1,32,29,0)
(55,51,0,33,29,1)
(55,52,1,33,28,0)
(54,52,0,34,28,1)
(54,53,1,34,27,0)
(53,52,0,35,28,1)
(54,52,1,34,28,0)
(54,51,0,34,29,1)
(55,51,1,33,29,0)
(55,50,0,33,30,1)
(56,50,1,32,30,0)
(56,49,0,32,31,1)
(57,49,1,31,31,0)
(55,49,0,33,31,1)
(55,50,1,33,30,0)
(54,50,0,34,30,1)
(54,51,1,34,29,0)
(53,51,0,35,29,1)
(53,52,1,35,28,0)
(52,51,0,36,29,1)
(53,51,1,35,29,0)
(53,50,0,35,30,1)
(54,50,1,34,30,0)
(54,49,0,34,31,1)
(55,49,1,33,31,0)
(55,48,0,33,32,1)
(56,48,1,32,32,0)
(54,48,0,34,32,1)
(54,49,1,34,31,0)
(53,49,0,35,31,1)
(53,50,1,35,30,0)
(52,50,0,36,30,1)
(52,51,1,36,29,0)
(51,50,0,37,30,1)
(52,50,1,36,30,0)
(52,49,0,36,31,1)
(53,49,1,35,31,0)
(53,48,0,35,32,1)
(54,48,1,34,32,0)
(54,47,0,34,33,1)
(55,47,1,33,33,0)
(53,47,0,35,33,1)
(53,48,1,35,32,0)
(52,48,0,36,32,1)
(52,49,1,36,31,0)
(51,49,0,37,31,1)
(51,50,1,37,30,0)
(50,49,0,38,31,1)
(51,49,1,37,31,0)
(51,48,0,37,32,1)
(52,48,1,36,32,0)
(52,47,0,36,33,1)
(53,47,1,35,33,0)
(53,46,0,35,34,1)
(54,46,1,34,34,0)
(52,46,0,36,34,1)
(52,47,1,36,33,0)
(51,47,0,37,33,1)
(51,48,1,37,32,0)
(50,48,0,38,32,1)
(50,49,1,38,31,0)
(49,48,0,39,32,1)
(50,48,1,38,32,0)
(50,47,0,38,33,1)
(51,47,1,37,33,0)
(51,46,0,37,34,1)
(52,46,1,36,34,0)
(52,45,0,36,35,1)
(53,45,1,35,35,0)
(51,45,0,37,35,1)
(51,46,1,37,34,0)
(50,46,0,38,34,1)
(50,47,1,38,33,0)
(49,47,0,39,33,1)
(49,48,1,39,32,0)
(48,47,0,40,33,1)
(49,47,1,39,33,0)
(49,46,0,39,34,1)
(50,46,1,38,34,0)
(50,45,0,38,35,1)
(51,45,1,37,35,0)
(51,44,0,37,36,1)
(52,44,1,36,36,0)
(50,44,0,38,36,1)
(50,45,1,38,35,0)
(49,45,0,39,35,1)
(49,46,1,39,34,0)
(48,46,0,40,34,1)
(48,47,1,40,33,0)
(47,46,0,41,34,1)
(48,46,1,40,34,0)
(48,45,0,40,35,1)
(49,45,1,39,35,0)
(49,44,0,39,36,1)
(50,44,1,38,36,0)
(50,43,0,38,37,1)
(51,43,1,37,37,0)
(49,43,0,39,37,1)
(49,44,1,39,36,0)
(48,44,0,40,36,1)
(48,45,1,40,35,0)
(47,45,0,41,35,1)
(47,46,1,41,34,0)
(46,45,0,42,35,1)
(47,45,1,41,35,0)
(47,44,0,41,36,1)
(48,44,1,40,36,0)
(48,43,0,40,37,1)
(49,43,1,39,37,0)
(49,42,0,39,38,1)
(50,42,1,38,38,0)
(48,42,0,40,38,1)
(48,43,1,40,37,0)
(47,43,0,41,37,1)
(47,44,1,41,36,0)
(46,44,0,42,36,1)
(46,45,1,42,35,0)
(45,44,0,43,36,1)
(46,44,1,42,36,0)
(46,43,0,42,37,1)
(47,43,1,41,37,0)
(47,42,0,41,38,1)
(48,42,1,40,38,0)
(48,41,0,40,39,1)
(49,41,1,39,39,0)
(47,41,0,41,39,1)
(47,42,1,41,38,0)
(46,42,0,42,38,1)
(46,43,1,42,37,0)
(45,43,0,43,37,1)
(45,44,1,43,36,0)
(44,43,0,44,37,1)
(45,43,1,43,37,0)
(45,42,0,43,38,1)
(46,42,1,42,38,0)
(46,41,0,42,39,1)
(47,41,1,41,39,0)
(47,40,0,41,40,1)
(48,40,1,40,40,0)
(46,40,0,42,40,1)
(46,41,1,42,39,0)
(45,41,0,43,39,1)
(45,42,1,43,38,0)
(44,42,0,44,38,1)
(44,43,1,44,37,0)
(43,42,0,45,38,1)
(44,42,1,44,38,0)
(44,41,0,44,39,1)
(45,41,1,43,39,0)
(45,40,0,43,40,1)
(46,40,1,42,40,0)
(46,39,0,42,41,1)
(47,39,1,41,41,0)
(45,39,0,43,41,1)
(45,40,1,43,40,0)
(44,40,0,44,40,1)
(44,41,1,44,39,0)
(43,41,0,45,39,1)
(43,42,1,45,38,0)
(42,41,0,46,39,1)
(43,41,1,45,39,0)
(43,40,0,45,40,1)
(44,40,1,44,40,0)
(44,39,0,44,41,1)
(45,39,1,43,41,0)
(45,38,0,43,42,1)
(46,38,1,42,42,0)
(44,38,0,44,42,1)
(44,39,1,44,41,0)
(43,39,0,45,41,1)
(43,40,1,45,40,0)
(42,40,0,46,40,1)
(42,41,1,46,39,0)
(41,40,0,47,40,1)
(42,40,1,46,40,0)
(42,39,0,46,41,1)
(43,39,1,45,41,0)
(43,38,0,45,42,1)
(44,38,1,44,42,0)
(44,37,0,44,43,1)
(45,37,1,43,43,0)
(43,37,0,45,43,1)
(43,38,1,45,42,0)
(42,38,0,46,42,1)
(42,39,1,46,41,0)
(41,39,0,47,41,1)
(41,40,1,47,40,0)
(40,39,0,48,41,1)
(41,39,1,47,41,0)
(41,38,0,47,42,1)
(42,38,1,46,42,0)
(42,37,0,46,43,1)
(43,37,1,45,43,0)
(43,36,0,45,44,1)
(44,36,1,44,44,0)
(42,36,0,46,44,1)
(42,37,1,46,43,0)
(41,37,0,47,43,1)
(41,38,1,47,42,0)
(40,38,0,48,42,1)
(40,39,1,48,41,0)
(39,38,0,49,42,1)
(40,38,1,48,42,0)
(40,37,0,48,43,1)
(41,37,1,47,43,0)
(41,36,0,47,44,1)
(42,36,1,46,44,0)
(42,35,0,46,45,1)
(43,35,1,45,45,0)
(41,35,0,47,45,1)
(41,36,1,47,44,0)
(40,36,0,48,44,1)
(40,37,1,48,43,0)
(39,37,0,49,43,1)
(39,38,1,49,42,0)
(38,37,0,50,43,1)
(39,37,1,49,43,0)
(39,36,0,49,44,1)
(40,36,1,48,44,0)
(40,35,0,48,45,1)
(41,35,1,47,45,0)
(41,34,0,47,46,1)
(42,34,1,46,46,0)
(40,34,0,48,46,1)
(40,35,1,48,45,0)
(39,35,0,49,45,1)
(39,36,1,49,44,0)
(38,36,0,50,44,1)
(38,37,1,50,43,0)
(37,36,0,51,44,1)
(38,36,1,50,44,0)
(38,35,0,50,45,1)
(39,35,1,49,45,0)
(39,34,0,49,46,1)
(40,34,1,48,46,0)
(40,33,0,48,47,1)
(41,33,1,47,47,0)
(39,33,0,49,47,1)
(39,34,1,49,46,0)
(38,34,0,50,46,1)
(38,35,1,50,45,0)
(37,35,0,51,45,1)
(37,36,1,51,44,0)
(36,35,0,52,45,1)
(37,35,1,51,45,0)
(37,34,0,51,46,1)
(38,34,1,50,46,0)
(38,33,0,50,47,1)
(39,33,1,49,47,0)
(39,32,0,49,48,1)
(40,32,1,48,48,0)
(38,32,0,50,48,1)
(38,33,1,50,47,0)
(37,33,0,51,47,1)
(37,34,1,51,46,0)
(36,34,0,52,46,1)
(36,35,1,52,45,0)
(35,34,0,53,46,1)
(36,34,1,52,46,0)
(36,33,0,52,47,1)
(37,33,1,51,47,0)
(37,32,0,51,48,1)
(38,32,1,50,48,0)
(38,31,0,50,49,1)
(39,31,1,49,49,0)
(37,31,0,51,49,1)
(37,32,1,51,48,0)
(36,32,0,52,48,1)
(36,33,1,52,47,0)
(35,33,0,53,47,1)
(35,34,1,53,46,0)
(34,33,0,54,47,1)
(35,33,1,53,47,0)
(35,32,0,53,48,1)
(36,32,1,52,48,0)
(36,31,0,52,49,1)
(37,31,1,51,49,0)
(37,30,0,51,50,1)
(38,30,1,50,50,0)
(36,30,0,52,50,1)
(36,31,1,52,49,0)
(35,31,0,53,49,1)
(35,32,1,53,48,0)
(34,32,0,54,48,1)
(34,33,1,54,47,0)
(33,32,0,55,48,1)
(34,32,1,54,48,0)
(34,31,0,54,49,1)
(35,31,1,53,49,0)
(35,30,0,53,50,1)
(36,30,1,52,50,0)
(36,29,0,52,51,1)
(37,29,1,51,51,0)
(35,29,0,53,51,1)
(35,30,1,53,50,0)
(34,30,0,54,50,1)
(34,31,1,54,49,0)
(33,31,0,55,49,1)
(33,32,1,55,48,0)
(32,31,0,56,49,1)
(33,31,1,55,49,0)
(33,30,0,55,50,1)
(34,30,1,54,50,0)
(34,29,0,54,51,1)
(35,29,1,53,51,0)
(35,28,0,53,52,1)
(36,28,1,52,52,0)
(34,28,0,54,52,1)
(34,29,1,54,51,0)
(33,29,0,55,51,1)
(33,30,1,55,50,0)
(32,30,0,56,50,1)
(32,31,1,56,49,0)
(31,30,0,57,50,1)
(32,30,1,56,50,0)
(32,29,0,56,51,1)
(33,29,1,55,51,0)
(33,28,0,55,52,1)
(34,28,1,54,52,0)
(34,27,0,54,53,1)
(35,27,1,53,53,0)
(33,27,0,55,53,1)
(33,28,1,55,52,0)
(32,28,0,56,52,1)
(32,29,1,56,51,0)
(31,29,0,57,51,1)
(31,30,1,57,50,0)
(30,29,0,58,51,1)
(31,29,1,57,51,0)
(31,28,0,57,52,1)
(32,28,1,56,52,0)
(32,27,0,56,53,1)
(33,27,1,55,53,0)
(33,26,0,55,54,1)
(34,26,1,54,54,0)
(32,26,0,56,54,1)
(32,27,1,56,53,0)
(31,27,0,57,53,1)
(31,28,1,57,52,0)
(30,28,0,58,52,1)
(30,29,1,58,51,0)
(29,28,0,59,52,1)
(30,28,1,58,52,0)
(30,27,0,58,53,1)
(31,27,1,57,53,0)
(31,26,0,57,54,1)
(32,26,1,56,54,0)
(32,25,0,56,55,1)
(33,25,1,55,55,0)
(31,25,0,57,55,1)
(31,26,1,57,54,0)
(30,26,0,58,54,1)
(30,27,1,58,53,0)
(29,27,0,59,53,1)
(29,28,1,59,52,0)
(28,27,0,60,53,1)
(29,27,1,59,53,0)
(29,26,0,59,54,1)
(30,26,1,58,54,0)
(30,25,0,58,55,1)
(31,25,1,57,55,0)
(31,24,0,57,56,1)
(32,24,1,56,56,0)
(30,24,0,58,56,1)
(30,25,1,58,55,0)
(29,25,0,59,55,1)
(29,26,1,59,54,0)
(28,26,0,60,54,1)
(28,27,1,60,53,0)
(27,26,0,61,54,1)
(28,26,1,60,54,0)
(28,25,0,60,55,1)
(29,25,1,59,55,0)
(29,24,0,59,56,1)
(30,24,1,58,56,0)
(30,23,0,58,57,1)
(31,23,1,57,57,0)
(29,23,0,59,57,1)
(29,24,1,59,56,0)
(28,24,0,60,56,1)
(28,25,1,60,55,0)
(27,25,0,61,55,1)
(27,26,1,61,54,0)
(26,25,0,62,55,1)
(27,25,1,61,55,0)
(27,24,0,61,56,1)
(28,24,1,60,56,0)
(28,23,0,60,57,1)
(29,23,1,59,57,0)
(29,22,0,59,58,1)
(30,22,1,58,58,0)
(28,22,0,60,58,1)
(28,23,1,60,57,0)
(27,23,0,61,57,1)
(27,24,1,61,56,0)
(26,24,0,62,56,1)
(26,25,1,62,55,0)
(25,24,0,63,56,1)
(26,24,1,62,56,0)
(26,23,0,62,57,1)
(27,23,1,61,57,0)
